Suggested,Sugjeruar
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Fut një gjatësi të vlefshme CSS (p.sh.: 100 pikselë, 77 pt, 20em, .5ex ose 50%)."
The value is not within the specified range.,Vlera nuk është brenda intervalit të specifikuar.
Forbidden extensions has been used. Avoid usage of,Janë përdorur shtesa të ndaluara. Shmangni përdorimin e
Please use letters only (a-z or A-Z) in this field.,Ju lutemi përdorni vetëm shkronjat (a-z ose A-Z) në këtë fushë.
Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.,Ju lutemi përdorni vetëm shkronjat (a-z ose A-Z) ose numrat (0-9) në këtë fushë. Nuk lejohen hapësira apo karaktere të tjera.
First character must be letter.,Karakteri i parë duhet të jetë shkronja.
Please enter a valid date.,Ju lutemi shkruani një datë të vlefshme.
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Ju lutemi shkruani një çelës të vlefshëm URL (p.sh.: ""example-page"", ""example-page.html"" ose ""onethernivel/example-page"")."
Please enter a valid zip code.,Fut një kod postar të vlefshëm.
Please select one of the options above.,Ju lutemi zgjidhni një nga opsionet e mësipërme.
Please select State/Province.,Ju lutemi zgjidhni Shtetin/Provincën.
Please select a file.,Ju lutemi zgjidhni një skedar.
This is a required field.,Kjo është një fushë e detyrueshme.
Please select one of the options.,Ju lutemi zgjidhni një nga opsionet.
Please enter a value less than or equal to %s.,Ju lutemi vendosni një vlerë më të vogël ose të barabartë me %s.
Please enter a value greater than or equal to %s.,Fut një vlerë më të madhe ose të barabartë me %s.
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Ju lutemi shkruani adresa të vlefshme emaili, të ndara me presje. Për shembull, johndoe@domain.com, johnsmith@domain.com."
Card type does not match credit card number.,Lloji i kartës nuk përputhet me numrin e kartës së kreditit.
Credit card number does not match credit card type.,Numri i kartës së kreditit nuk përputhet me llojin e kartës së kreditit.
Incorrect credit card expiration date.,Data e gabuar e skadimit të kartës së kreditit.
Please enter issue number or start date for switch/solo card type.,"Ju lutemi, shkruani numrin e lëshimit ose datën e fillimit për llojin e kalimit/kartës solo."
Please enter less or equal than %1 symbols.,Ju lutemi vendosni simbole më pak ose të barabarta se %1.
Please enter more or equal than %1 symbols.,Ju lutemi vendosni më shumë ose të barabarta se %1 simbole.
Please enter positive number in this field.,Ju lutemi shkruani numrin pozitiv në këtë fushë.
"Please enter a valid value, ex: 10,20,30","Ju lutemi vendosni një vlerë të vlefshme, p.sh.: 10,20,30"
Please enter a valid value from list,Ju lutemi vendosni një vlerë të vlefshme nga lista
Please enter valid SKU key.,Fut çelësin e vlefshëm SKU.
Please enter a valid number.,Ju lutemi shkruani një numër të vlefshëm.
This is required field,Kjo fushë është e detyrueshme
Admin is a required field in each row.,Admin është një fushë e detyrueshme në çdo rresht.
Please enter a quantity greater than 0.,Ju lutemi vendosni një sasi më të madhe se 0.
The maximum you may purchase is %1.,Maksimumi që mund të blini është %1.
Please fix this field.,Ju lutemi rregulloni këtë fushë.
Please enter a valid URL.,Ju lutemi shkruani një URL të vlefshme.
Please enter a valid date (ISO).,Ju lutemi shkruani një datë të vlefshme (ISO).
Please enter only digits.,Ju lutemi shkruani vetëm shifra.
Please enter the same value again.,"Ju lutemi, vendosni sërish të njëjtën vlerë."
Please enter no more than {0} characters.,Ju lutemi shkruani jo më shumë se {0} karaktere.
Please enter at least {0} characters.,Ju lutemi shkruani të paktën {0} karaktere.
Please enter a value between {0} and {1} characters long.,"Ju lutemi, vendosni një vlerë midis {0} dhe {1} karaktereve."
Please enter a value between {0} and {1}.,Ju lutemi vendosni një vlerë midis {0} dhe {1}.
Please enter a value less than or equal to {0}.,Ju lutemi vendosni një vlerë më të vogël ose të barabartë me {0}.
Please enter a value greater than or equal to {0}.,Fut një vlerë më të madhe ose të barabartë me {0}.
Please enter a date between %min and %max.,Ju lutemi vendosni një datë ndërmjet %min dhe %max.
Please enter a valid full date.,Ju lutemi shkruani një datë të plotë të vlefshme.
Please enter a valid month (1-12).,Ju lutemi shkruani një muaj të vlefshëm (1-12).
Please enter a valid year (1900-%1).,Ju lutemi shkruani një vit të vlefshëm (1900-%1).
Please enter a valid day (1-%1).,Ju lutemi shkruani një ditë të vlefshme (1-%1).
Please enter a date from the past.,Ju lutemi shkruani një datë nga e kaluara.
custom.definition,zakon.përkufizim
component.behaviours,komponent.sjelljet
Copied!,E kopjuar!
Click to copy URL,Klikoni për të kopjuar URL-në
"You are about to allow dotdigital to import customers that haven't explicitly opted into your emails. This means the Customers and Guests address books will contain contacts that you might not be able to reach out to, depending on the applicable regulations. Do you wish to continue?","Jeni gati të lejoni dotdigital të importojë klientë që nuk kanë zgjedhur në mënyrë të qartë emailet tuaja. Kjo do të thotë se librat e adresave të klientëve dhe të ftuarve do të përmbajnë kontakte me të cilat mund të mos jeni në gjendje të kontaktoni, në varësi të rregulloreve në fuqi. Dëshironi të vazhdoni?"
You are about to enable this feature for customers that haven't explicitly opted into your emails. Do you wish to continue?,Jeni gati ta aktivizoni këtë veçori për klientët që nuk kanë zgjedhur në mënyrë të qartë emailet tuaja. Dëshironi të vazhdoni?
You are not able to remove the final row from the content.,Ju nuk jeni në gjendje të hiqni rreshtin përfundimtar nga përmbajtja.
Unable to Remove,Nuk mund të hiqet
Please enter the location name.,Ju lutemi shkruani emrin e vendndodhjes.
Enter latitude,Fut gjerësinë gjeografike
Enter longitude,Fut gjatësinë gjeografike
Please enter a number between -85 and 85,Ju lutemi vendosni një numër midis -85 dhe 85
Please enter a number between -180 and 180,Ju lutemi vendosni një numër midis -180 dhe 180
Please enter a valid video URL.,Fut një URL të vlefshme videoje.
"Please enter a valid video URL. Valid URLs have a video file extension (.mp4, .webm, .ogv) or links to videos on YouTube or Vimeo.","Fut një URL të vlefshme videoje. URL-të e vlefshme kanë një shtesë skedari video (.mp4, .webm, .ogv) ose lidhje me videot në YouTube ose Vimeo."
Please enter a valid CSS class.,Fut një klasë të vlefshme CSS.
Adding link in both content and outer element is not allowed.,Shtimi i lidhjes si në përmbajtje ashtu edhe në elementin e jashtëm nuk lejohet.
Adding link in outer element and widget in content is not allowed.,Shtimi i lidhjes në elementin e jashtëm dhe miniaplikacionit në përmbajtje nuk lejohet.
Adding widget in content and link in outer element is not allowed.,Shtimi i miniaplikacionit në përmbajtje dhe lidhjes në elementin e jashtëm nuk lejohet.
"Please enter a valid number or calculation: Valid numbers must have an extension (px, %, pt, vh). Calculations must have white space around the + and - operators and cannot divide by zero.","Ju lutemi vendosni një numër ose llogaritje të vlefshme: Numrat e vlefshëm duhet të kenë një shtrirje (px, %, pt, vh). Llogaritjet duhet të kenë hapësirë të bardhë rreth operatorëve + dhe - dhe nuk mund të pjesëtohen me zero."
Edit with Page Builder,Modifiko me Ndërtuesin e Faqeve
Do not show this again,Mos e shfaq më këtë
Template Preview,Pamja paraprake e shabllonit
Google Maps Style JSON is invalid. Please paste the valid JSON style.,Styli i Hartave Google JSON është i pavlefshëm. Ju lutemi ngjitni stilin e vlefshëm JSON.
Please enter a number 2 or greater in this field.,Ju lutemi vendosni një numër 2 ose më të madh në këtë fushë.
Default grid size must be less than the maximum grid size.,Madhësia e parazgjedhur e rrjetit duhet të jetë më e vogël se madhësia maksimale e rrjetit.
An error occurred while logging process.,Ndodhi një gabim gjatë procesit të regjistrimit.
The file upload field is disabled.,Fusha e ngarkimit të skedarit është e çaktivizuar.
was not uploaded,nuk u ngarkua
options,opsione
Entity with ID: %s doesn't exist,Entiteti me ID: %s nuk ekziston
Select All on This Page,Zgjidhni të gjitha në këtë faqe
Deselect All on This Page,Çzgjidh të gjitha në këtë faqe
New View,Pamje e re
Default View,Pamja e parazgjedhur
${ $.visible } out of ${ $.total } visible,${ $.visible } nga ${ $.total } i dukshëm
You have successfully saved your edits.,Ju i keni ruajtur me sukses modifikimet tuaja.
There are {placeholder} messages requires your attention.,Ka mesazhe {placeholder} kërkon vëmendjen tuaj.
You haven't selected any items!,Nuk ke zgjedhur asnjë artikull!
Search by keyword,Kërko me fjalë kyçe
Keyword,Fjalë kyçe
Please enter more or equal than {0} symbols.,Ju lutemi vendosni më shumë ose të barabarta se {0} simbole.
Please enter less or equal than {0} symbols.,Ju lutemi vendosni më pak ose të barabarta se {0} simbole.
Vul hier een geldige datum in.,Vul hier een geldige datum in.
Please enter a valid integer in this field.,Ju lutemi vendosni një numër të plotë të vlefshëm në këtë fushë.
Please enter a valid percentage discount value greater than 0.,Ju lutemi vendosni një vlerë të vlefshme të zbritjes në përqindje më të madhe se 0.
"Please use only lowercase letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Ju lutemi përdorni vetëm shkronjat e vogla (a-z), numrat (0-9) ose nënvizat (_) në këtë fushë dhe karakteri i parë duhet të jetë një shkronjë."
We don't recognize or support this file extension type.,Ne nuk e njohim ose e mbështesim këtë lloj shtesë skedari.
File you are trying to upload exceeds maximum file size limit.,Skedari që po përpiqeni të ngarkoni tejkalon kufirin maksimal të madhësisë së skedarit.
Please use tag SCRIPT with SRC attribute or with proper content to include JavaScript to the document.,Ju lutemi përdorni etiketën SCRIPT me atribut SRC ose me përmbajtjen e duhur për të përfshirë JavaScript në dokument.
The date is not within the specified range.,Data nuk është brenda intervalit të specifikuar.
"Wrong color format. Please specify color in HEX, RGBa, HSVa, HSLa or use color name.","Formati i gabuar i ngjyrave. Ju lutemi specifikoni ngjyrën në HEX, RGBa, HSVa, HSLa ose përdorni emrin e ngjyrës."
This link is not allowed.,Kjo lidhje nuk lejohet.
The Date of Birth should not be greater than today.,Data e lindjes nuk duhet të jetë më e madhe se sot.
Attention,Kujdes
Edit Variable,Redakto variabël
The variable %1 is no longer available. Select a different variable.,Ndryshorja %1 nuk disponohet më. Zgjidhni një variabël tjetër.
Please select an Environment,Ju lutemi zgjidhni një mjedis
Please enter a Merchant ID,Fut një ID Tregtari
Please enter a Public Key,Ju lutemi vendosni një çelës publik
Please enter a Private Key,Ju lutemi vendosni një çelës privat
Braintree Credential Validation Failed,Validimi i kredencialeve të Braintree dështoi
We're validating your credentials...,Ne po vërtetojmë kredencialet tuaja...
Your credentials are valid.,Kredencialet tuaja janë të vlefshme.
"Your Braintree Credentials could not be validated. Please ensure you have selected the correct environment and entered a valid Merchant ID, Public Key and Private Key.","Kredencialet tuaja Braintree nuk mund të vërtetoheshin. Sigurohuni që keni zgjedhur mjedisin e duhur dhe keni futur një ID të vlefshme tregtari, çelës publik dhe çelës privat."
does not implement Storage Interface,nuk zbaton ndërfaqen e ruajtjes
unselect all,çzgjidh të gjitha
Are you sure you would like to remove this item from the shopping cart?,Jeni i sigurt që dëshironi ta hiqni këtë artikull nga karroca e blerjeve?
Cookies are disabled in your browser.,Cookies janë çaktivizuar në shfletuesin tuaj.
Could not authenticate. Please try again later,Nuk mund të vërtetohej. Ju lutemi provoni sërish më vonë
Instant Purchase,Blerje e menjëhershme
Instant Purchase Confirmation,Konfirmimi i menjëhershëm i blerjes
Are you sure you want to place order and pay?,Jeni i sigurt që dëshironi të bëni porosi dhe të paguani?
Phrase 2 %1,Fraza 2 %1
"Invalid JSON credentials entered, please try again.","Janë futur kredenciale të pavlefshme JSON, ju lutemi provoni përsëri."
Credential fields successfully updated and being saved.,Fushat e kredencialeve u përditësuan me sukses dhe po ruhen.
Your Amazon session has expired. Please sign in again by clicking the Amazon Pay Button.,"Sesioni juaj në Amazon ka skaduar. Ju lutemi, regjistrohuni përsëri duke klikuar butonin e pagesës në Amazon."
An unknown error occurred. Please try another payment method,"Ndodhi një gabim i panjohur. Ju lutemi, provoni një mënyrë tjetër pagese"
Could not fetch licensing information.,Nuk mund të merrej informacioni i licencimit.
Your admin role does not have permissions to license an image,Roli juaj i administratorit nuk ka leje për të licencuar një imazh
License,Liçensë
License and Save,Licencë dhe Ruaj
"License ""","Liçensë """
License Adobe Stock Images?,Licenca Adobe Stock Images?
Buy Credits,Bleni Kredi
File Name,Emri i skedarit
The image cannot be located,Imazhi nuk mund të gjendet
We cannot find this image in the media gallery.,Këtë imazh nuk mund ta gjejmë në galerinë e mediave.
The image has been licensed.,Imazhi është licencuar.
Couldn't log you in,Nuk mund të identifikoheshe
"Please name the file using only letters, numbers, underscores and dashes","Ju lutemi emërtoni skedarin duke përdorur vetëm shkronja, numra, nënvizime dhe viza"
Warning message,Mesazh paralajmërues
Add Products to New Option,Shtoni produkte në opsionin e ri
"Add Products to Option ""%1""","Shto Produkte te Opsioni ""%1"""
Authentication Failed. Please try again with another form of payment.,Autentifikimi dështoi. Provo sërish me një formë tjetër pagese.
Configure Product,Konfiguro produktin
"This value does not follow the specified format (for example, 200X300).","Kjo vlerë nuk ndjek formatin e specifikuar (për shembull, 200X300)."
Select type of option.,Zgjidhni llojin e opsionit.
Please add rows to option.,Ju lutemi shtoni rreshta në opsion.
Choose existing category.,Zgjidhni kategorinë ekzistuese.
Image Detail,Detajet e imazhit
remaining,mbetur
too many,shume
Provided Zip/Postal Code seems to be invalid.,Kodi Postar/Postar i dhënë duket të jetë i pavlefshëm.
Example:,Shembull:
If you believe it is the right one you can ignore this notice.,"Nëse besoni se është i duhuri, mund ta shpërfillni këtë njoftim."
Something went wrong with your request. Please try again later.,Ndodhi një gabim me kërkesën tuaj. Ju lutemi provoni sërish më vonë.
Are you sure you want to remove all items from your shopping cart?,Jeni i sigurt që dëshironi të hiqni të gjithë artikujt nga karroca juaj e blerjeve?
Select a new payment method,Zgjidhni një mënyrë të re pagese
Please specify a regionId in shipping address.,Ju lutemi specifikoni një ID të rajonit në adresën e transportit.
New Product Review,Rishikimi i produktit të ri
Here are the products you're about to create.,Këtu janë produktet që do të krijoni.
You created these products for this configuration.,Ju i keni krijuar këto produkte për këtë konfigurim.
Disassociated Products,Produkte të ndara
These products are not associated.,Këto produkte nuk janë të lidhura.
An attribute has been removed. This attribute will no longer appear in your configurations.,Një atribut është hequr. Ky atribut nuk do të shfaqet më në konfigurimet tuaja.
Select options for all attributes or remove unused attributes.,Zgjidhni opsionet për të gjitha atributet ose hiqni atributet e papërdorura.
Choose this option to delete and replace extension data for all past configurations.,Zgjidhni këtë opsion për të fshirë dhe zëvendësuar të dhënat e shtesës për të gjitha konfigurimet e kaluara.
Please select attribute for {section} section.,Ju lutemi zgjidhni atributin për seksionin {section}.
Please fill in the values for {section} section.,Ju lutemi plotësoni vlerat për seksionin {section}.
Please fill-in correct values.,Ju lutemi plotësoni vlerat e sakta.
Please select image(s) for your attribute.,Ju lutemi zgjidhni imazhin(et) për atributin tuaj.
Please choose image(s).,Ju lutemi zgjidhni imazhet.
"When you remove or add an attribute, we automatically update all configurations and you will need to recreate current configurations manually.","Kur hiqni ose shtoni një atribut, ne përditësojmë automatikisht të gjitha konfigurimet dhe do t'ju duhet të rikrijoni manualisht konfigurimet aktuale."
Please select attribute(s).,Ju lutemi zgjidhni atributet.
Generate Products,Gjeneroni produkte
Are you sure you want to delete this address?,Jeni i sigurt që dëshironi ta fshini këtë adresë?
Weak,I dobët
Strong,I forte
Very Strong,Shume i forte
These changes affect all related products.,Këto ndryshime prekin të gjitha produktet e lidhura.
Popup Blocker is enabled! Please add this site to your exception list.,Bllokuesi i dritareve kërcyese është aktivizuar! Ju lutemi shtoni këtë sajt në listën tuaj të përjashtimeve.
Allow,Lejo
Show more...,Shfaq më shumë...
Login as Customer,Identifikohu si Klient
You are connected as <strong>%1</strong> on %2,Jeni lidhur si <strong>%1</strong> në %2
"%1Are you sure you want to delete ""%2"" image(s)?","%1A jeni i sigurt që dëshironi të fshini imazhin(et) ""%2""?"
The selected assets are used in the content of the following entities:,Asetet e përzgjedhura përdoren në përmbajtjen e subjekteve të mëposhtme:
Delete assets,Fshi asetet
There was an error on attempt to delete the images.,Pati një gabim në përpjekjen për të fshirë imazhet.
You have successfully removed the images.,I keni hequr me sukses imazhet.
There was an error on attempt to delete the image.,Pati një gabim në përpjekjen për të fshirë imazhin.
Could not retrieve image details.,Detajet e imazhit nuk mund të merreshin.
Could not save image details.,Detajet e imazhit nuk mund të ruheshin.
Could not create the directory.,Drejtoria nuk mund të krijohej.
Could not delete the directory.,Drejtoria nuk mund të fshihej.
The following folder is going to be deleted: %1,Dosja e mëposhtme do të fshihet: %1
Target element not found for content update,Elementi i synuar nuk u gjet për përditësimin e përmbajtjes
Select Images to Delete,Zgjidhni Imazhet për t'i fshirë
You need to select at least one image,Ju duhet të zgjidhni të paktën një imazh
"Cannot upload ""%1"". File exceeds maximum file size limit.","Nuk mund të ngarkohet ""%1"". Skedari tejkalon kufirin maksimal të madhësisë së skedarit."
"Cannot upload ""%1"". Filename is too long, must be 90 characters or less.","Nuk mund të ngarkohet ""%1"". Emri i skedarit është shumë i gjatë, duhet të jetë 90 karaktere ose më pak."
Could not upload the asset.,Puna nuk mund të ngarkohej.
Assets have been successfully uploaded!,Asetet janë ngarkuar me sukses!
We can't complete your order because you don't have a payment method set up.,Nuk mund ta përfundojmë porosinë tënde sepse nuk ke konfiguruar një mënyrë pagese.
Please choose a payment method.,Ju lutemi zgjidhni një mënyrë pagese.
The currently selected block does not exist.,Blloku i përzgjedhur aktualisht nuk ekziston.
Drag image here,Tërhiq imazhin këtu
Drop here,Hidhe këtu
Upload New Image,Ngarko imazh të ri
of %1 total,nga %1 total
%1 disabled,%1 i çaktivizuar
%1 not visible,%1 nuk shihet
An unknown error occurred. Please try again.,Ndodhi një gabim i panjohur. Ju lutemi provoni përsëri.
Are you sure you want to apply this template? This will overwrite any existing content.,Jeni i sigurt që dëshironi të aplikoni këtë shabllon? Kjo do të mbishkruaj çdo përmbajtje ekzistuese.
"Drop files here, or click to upload",Hidhini skedarët këtu ose klikoni për të ngarkuar
Turn Off,Fike
Change Input Type,Ndrysho llojin e hyrjes
Please enter a valid credit card type number.,Fut një numër të vlefshëm të llojit të kartës së kreditit.
Incorrect credit card expiration month.,Muaji i pasaktë i skadimit të kartës së kreditit.
Incorrect credit card expiration year.,Viti i pasaktë i skadimit të kartës së kreditit.
"Sorry, something went wrong.","Na vjen keq, diçka shkoi keq."
Not you?,Jo ju?
Video Error,Gabim video
Unknown video type,Lloji i panjohur i videos
Invalid video url,URL e pavlefshme e videos
Youtube API key is invalid,Çelësi i Youtube API është i pavlefshëm
Video cant be shown due to the following reason:,Videoja nuk mund të shfaqet për arsyet e mëposhtme:
Video not found,Video nuk u gjet
New Video,Video e re
Edit Video,Edit Video
Images and Videos,Imazhe dhe video
Please select one of each of the ratings above.,Ju lutemi zgjidhni një nga secilin nga vlerësimet e mësipërme.
This won't take long . . .,Kjo nuk do të zgjasë shumë. . .
Your coupon was successfully removed.,Kuponi juaj u hoq me sukses.
Your coupon was successfully applied.,Kuponi juaj u aplikua me sukses.
Please enter a coupon code!,Ju lutemi shkruani një kod kuponi!
Gift Options for,Opsionet e dhuratave për
Get available payment methods,Merrni mënyrat e disponueshme të pagesës
Add Products,Shto Produkte
You have item changes,Keni ndryshime në artikull
Please select a file to import!,Ju lutemi zgjidhni një skedar për të importuar!
Not yet calculated,Ende nuk është llogaritur
We don't recognize this file extension.,Ne nuk e njohim këtë shtesë skedari.
Your request has been expired,Kërkesa juaj ka skaduar
Your request has been rejected,Kërkesa juaj është refuzuar
Invalid key or key is not registered.,Çelësi ose çelësi i pavlefshëm nuk është regjistruar.
Unable to register your device,Pajisja nuk mund të regjistrohet
There was an error processing your key.,Pati një gabim gjatë përpunimit të çelësit tuaj.
Open in new tab,Hape në skedën e re
Go to Details Page,Shkoni te faqja e detajeve
This payment is not available,Kjo pagesë nuk ofrohet
4111 1111 1111 1111,4111 1111 1111 1111
MM,MM
YY,YY
"Please enter a card number, expiration date and CVV","Ju lutemi shkruani numrin e kartës, datën e skadencës dhe CVV-në"
Please correct the problems with the Credit Card fields.,Ju lutemi korrigjoni problemet me fushat e Kartës së Kreditit.
"The payment method used, already exists in the user's vault. Please use the vault option instead.",Mënyra e përdorur e pagesës ekziston tashmë në kasafortën e përdoruesit. Ju lutemi përdorni opsionin e kasafortës në vend.
CVV did not pass verification,CVV nuk e kaloi verifikimin
There was an issue tokenizing the card. Please check the card is valid.,Kishte një problem me tonifikimin e kartës. Ju lutemi kontrolloni se karta është e vlefshme.
There was an error connecting to Braintree. Please try again.,Pati një gabim gjatë lidhjes me Braintree. Ju lutemi provoni përsëri.
There was an issue processing the payment. Please try again.,Pati një problem me përpunimin e pagesës. Ju lutemi provoni përsëri.
Please configure your Braintree Payments account in order to use the virtual terminal.,Ju lutemi konfiguroni llogarinë tuaj në Braintree Payments për të përdorur terminalin virtual.
There are no shipping methods available for you right now. Please try again or use an alternative payment method.,Nuk ka asnjë metodë transporti të disponueshme për ju për momentin. Provo sërish ose përdor një mënyrë alternative pagese.
We're unable to fetch the cart totals for you. Please try an alternative payment method.,Ne nuk mund të marrim totalin e karrocave për ju. Ju lutemi provoni një mënyrë alternative pagese.
We're unable to find any shipping methods for you. Please try an alternative payment method.,Ne nuk mund të gjejmë asnjë mënyrë transporti për ju. Ju lutemi provoni një mënyrë alternative pagese.
We're unable to take your payment through Apple Pay. Please try an again or use an alternative payment method.,Ne nuk mund ta marrim pagesën tuaj përmes Apple Pay. Provo sërish ose përdor një mënyrë alternative pagese.
Pay with Apple Pay,Paguani me Apple Pay
We're unable to take payments through Apple Pay at the moment. Please try an alternative payment method.,Ne nuk mund të marrim pagesa përmes Apple Pay për momentin. Ju lutemi provoni një mënyrë alternative pagese.
Buy with Google Pay,Bli me Google Pay
Please try again with another form of payment.,Provo sërish me një formë tjetër pagese.
"Sorry, but something went wrong.","Na vjen keq, por diçka shkoi keq."
Braintree hosted fields could not be initialized. Please contact the store owner.,Fushat e strehuara në Braintree nuk mund të inicializoheshin. Ju lutemi kontaktoni pronarin e dyqanit.
There was an error with the provided bank details. Please check and try again.,Pati një gabim me detajet e dhëna bankare. Ju lutemi kontrolloni dhe provoni përsëri.
Unable to initialize Braintree Client.,Nuk mund të inicializohet Braintree Client.
Error initializing ACH: %1,Gabim në inicializimin e ACH: %1
Payment,Pagesa
MM/YYYY,MM/VVVV
Local Payment popup was closed unexpectedly.,Drita kërcyese e pagesës lokale u mbyll papritur.
Local Payment popup failed to open.,Dritarja kërcyese e pagesës lokale nuk u hap.
Local Payment popup was closed. Payment cancelled.,Drita kërcyese e pagesës lokale u mbyll. Pagesa u anulua.
PayPal Checkout could not be initialized. Please contact the store owner.,PayPal Checkout nuk mund të inicializohej. Ju lutemi kontaktoni pronarin e dyqanit.
"Venmo not initialized, please try reloading.","Venmo nuk është inicializuar, ju lutemi provoni ta ringarkoni."
Venmo app is not available or the payment flow was cancelled.,Aplikacioni Venmo nuk disponohet ose fluksi i pagesës u anulua.
Venmo payment flow cancelled.,Rrjedha e pagesave të Venmo u anulua.
Error initializing Venmo: %1,Gabim në inicializimin e Venmo: %1
Your session has expired. Please reload the page and try again.,Sesioni juaj ka skaduar. Rifresko faqen dhe provo sërish.
There was an error cleansing the address. Please try again.,Ndodhi një gabim gjatë pastrimit të adresës. Ju lutemi provoni përsëri.
We did not find a valid address,Nuk gjetëm një adresë të vlefshme
The address is not valid,Adresa nuk është e vlefshme
The intended address could be:,Adresa e synuar mund të jetë:
The address was updated,Adresa u përditësua
Warning: Updating the address will replace all street address fields.,Paralajmërim: Përditësimi i adresës do të zëvendësojë të gjitha fushat e adresës së rrugës.
Please select a Country.,Ju lutemi zgjidhni një shtet.
SearchSuite,SearchSuite
Autocomplete Configuration,Konfigurimi i plotësimit automatik
Search Delay,Vonesa e kërkimit
Show Fields In Popup,Shfaq fushat në dritaren kërcyese
Number of Results Suggested Search,Numri i rezultateve të kërkimit të sugjeruar
Number of Results Product Search,Numri i rezultateve Kërkimi i produktit
Product Search Result Fields,Fushat e rezultateve të kërkimit të produktit
Blog,Blog
Enable Extension,Aktivizo Zgjerimin
Product Key,Çelësi i produktit
Meta Title,Titulli Meta
Display Mode,Modaliteti i shfaqjes
Posts Sort By,Postimet Rendit sipas
Post IDs,ID-të e postimeve
Please indicate post IDs (separated by comma) you want to display.,Ju lutemi tregoni ID-të e postimeve (të ndara me presje) që dëshironi të shfaqni.
Post Page (Post View),Faqja e postimit (Pamja e postimit)
Display Related Posts,Shfaq postime të ngjashme
Number of Posts,Numri i Postimeve
Display Related Products,Shfaq produkte të ngjashme
Number of Products,Numri i Produkteve
Comments,Komentet
Number of Replies,Numri i Përgjigjeve
Facebook Application ID,ID e aplikacionit në Facebook
"<a href=""https://developers.facebook.com/docs/apps/register/"" target=""_blank"">",
How do I get a Facebook Application ID?,
</a>,"<a href=""https://developers.facebook.com/docs/apps/register/"" target=""_blank"">Si mund të marr një ID të aplikacionit në Facebook?</a>"
Insert Facebook Application ID (fb:app_id) In HEAD Tag,Fut ID-në e aplikacionit të Facebook (fb:app_id) në etiketën HEAD
Your Disqus Forum Shortname,Emri i shkurtër i Forumit tuaj të Disqus
"<a href=""https://help.disqus.com/customer/portal/articles/466208"" target=""_blank"">",
What's a shortname?,
</a>,"<a href=""https://help.disqus.com/customer/portal/articles/466208"" target=""_blank"">Çfarë është një emër i shkurtër?</a>"
Allow Guest Comments,Lejo komentet e vizitorëve
New Comment Status,Statusi i ri i komentit
Display Privacy Policy Agreement (GDPR),Afisho Marrëveshjen e Politikës së Privatësisë (GDPR)
Previous and Next Post,Postimi i mëparshëm dhe i ardhshëm
Display Prev. & Next Post Links,Afisho Prev. & Lidhjet e postimit të ardhshëm
Views Count,Numri i shikimeve
Calculate & Display Views Counts,Llogaritni dhe shfaqni numërimin e shikimeve
Post List,Lista e postimeve
Default Short Content Length,Gjatësia e parazgjedhur e përmbajtjes së shkurtër
Posts Per Page,Postimet për faqe
Use Lazy Loading,Përdor Lazy Loading
Automatically load more posts on page.,Ngarko automatikisht më shumë postime në faqe.
Auto Triger Padding (px),Mbushja automatike e këmbëzës (px)
The distance in pixels from the bottom of the scrollable content at which to trigger the loading of the next set of posts.,Distanca në pixel nga fundi i përmbajtjes së lëvizshme në të cilën do të aktivizohet ngarkimi i grupit të ardhshëm të postimeve.
Short Content End ?haracters,Përmbajtja e shkurtër Karakteret fundore
"E.g.: ""...""","P.sh.: ""..."""
Display Author Information,Shfaq informacionin e autorit
Display Post List By Author,Shfaq listën e postimeve sipas autorit
"If set to ""Yes"". author page with post list will be available.","Nëse vendoset në ""Po"". Faqja e autorit me listën e postimeve do të jetë e disponueshme."
Default Robots,Robotët e parazgjedhur
This will be included before head closing tag in page HTML.,Kjo do të përfshihet përpara etiketës së mbylljes së kokës në HTML të faqes.
Search Form Widget,Miniaplikacioni i formularit të kërkimit
Categories Widget,Widget i kategorive
Display Number Of Posts,Shfaq numrin e postimeve
Maximal Depth,Thellësia maksimale
Recent Posts Widget,Widget i postimeve të fundit
Posts Number,Numri i postimeve
Featured Post Widget,Widget postimi i veçuar
Popular Posts Widget,Widget i postimeve të njohura
Archive Widget,Miniaplikacioni i arkivit
Tag Cloud Widget,Etiketoni miniaplikacionin e resë kompjuterike
Enable 3D Animation,Aktivizo animacionin 3D
Cloud Height,Lartësia e resë
Number of Tags,Numri i etiketave
Custom HTML,HTML e personalizuar
Custom HTML 2,HTML 2 e personalizuar
Rss Feed,Rss Feed
Feed Title,Titulli i furnizimit
Feed Description,Përshkrimi i furnizimit
Product Page,Faqja e produktit
Permalink Settings,Cilësimet e lidhjes së përhershme
Blog Route,Rruga e Blogut
"E.g.: ""blog"" will make the blog accessible from mystore.com/blog","P.sh.: ""blog"" do ta bëjë blogun të aksesueshëm nga mystore.com/blog"
Auto-redirect to No-Slash URL,Ridrejtimi automatik në URL-në pa prerje
Permalink Type,Lloji i lidhjes së përhershme
Post Route,Rruga e postimit
